,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
61,KTGF118,0.550901643,0.485817492,0.01331753,-0.115401603,1,0.327531867,0.265765766,0.265765766,74
62,KTGF119,0.360855048,0.321315504,NA,NA,0,NA,0,0,67
63,KTGF120,0.563928942,0.500017191,0.010716039,-0.1035183,1,0.376796105,0.2,0.2,75
64,KTGF122,0.530202955,0.428123031,0.018973306,0.137743623,1,0.198008446,0.486891386,0.486891386,89
65,KTGF124,0.669539998,0.532119373,0.081544994,-0.285560841,1,0.026988101,0.766666667,0.766666667,60
66,KTGF125,0.608228266,0.569980057,0.010152062,0.100757442,1,0.34196041,0.04029304,0.04029304,91
67,KTGF126,0.595203733,0.465926133,0.012247182,0.110666988,1,0.28829659,0.840425532,0.840425532,94
68,KTGF127,0.440078495,0.366486547,0.013956744,0.118138662,1,0.486184856,0.072072072,0.072072072,37
69,KTGF129,0.564507653,0.453659371,0.02291674,0.151382761,1,0.134720252,0.498316498,0.498316498,99
70,KTGF130,1.021259457,0.77128869,0.005761989,-0.075907766,1,0.517454587,0.977777778,0.977777778,75
71,KTGF136,0.710829001,0.585249761,0.045533672,-0.213386204,1,0.140978032,0.448979592,0.448979592,49
72,KTGF138,0.476962393,0.427329346,0.05731087,0.239396887,1,0.166024317,0.047619048,0.047619048,35
73,KTGF142,0.588678987,0.487727269,0.001010671,0.031791049,1,0.856137192,0.266666667,0.266666667,35
74,KTGF143,0.619453223,0.579453283,0.000120556,-0.010979782,1,0.926543201,0.095890411,0.095890411,73
75,KTGF146,0.746559281,0.606278306,0.002291698,0.047871682,1,0.733558311,0.295597484,0.295597484,53
76,KTGF147,0.549234979,0.480447698,0.028483561,-0.168770734,1,0.142299366,0.181818182,0.181818182,77
77,KTGF148,0.578101335,0.509330369,0.003460917,-0.058829556,1,0.551092309,0.152380952,0.152380952,105
78,KTGF150,0.386656695,0.314964789,0.012123397,0.110106296,1,0.307145894,0.363636364,0.363636364,88
79,KTGF153,0.533062024,0.457751985,0.049730709,-0.223003831,1,0.027301895,0.200680272,0.200680272,98
80,KTGF154,0.502853357,0.450838364,0.001285601,0.035855285,1,0.74162311,0.168582375,0.168582375,87
81,KTGF156,0.520394606,0.438695744,0.00362766,0.060230063,1,0.55993985,0.232638889,0.232638889,96
82,KTGF157,0.433909331,0.350412232,0.001783422,0.042230586,1,0.676544835,0.49,0.49,100
83,KTGF158,0.596797514,0.535529441,0.000178234,0.013350415,1,0.912012261,0.34741784,0.34741784,71
84,KTGF527,1.198423815,0.962299184,0.001148579,0.033890697,1,0.755322671,1.536398467,1.536398467,87
85,KTGF528,1.416148121,1.122777269,0.024107855,0.155267043,1,0.345253747,1.538461538,1.538461538,39
86,KTGF533,1.022735767,0.798112634,0.037616669,0.193950172,1,0.088855958,1.14957265,1.14957265,78
87,KTGF540,0.496008505,0.334432619,0.02962721,-0.172125565,1,0.31546383,0.62962963,0.62962963,36
88,KTGF544,0.581108135,0.453647047,0.01312554,0.114566751,1,0.253948618,0.564356436,0.564356436,101
89,KTGF545,0.544953983,0.482066992,0.020205151,0.142144825,1,0.205563831,0.238683128,0.238683128,81
90,KTGF549,0.594690238,0.503884875,0.013480061,-0.116103666,1,0.493778628,0.225225225,0.225225225,37
91,KTGF550,0.788807122,0.58583357,0.009732692,0.098654406,1,0.309725965,0.864197531,0.864197531,108
92,KTGF553,0.541335893,0.45518592,0.001067821,-0.032677532,1,0.753240984,0.350877193,0.350877193,95
93,KTGF556,0.799858374,0.640769996,0.000749143,0.027370483,1,0.827311337,0.974747475,0.974747475,66
94,KTGF557,0.747873654,0.583330083,0.053047215,0.23031981,1,0.04532755,0.899122807,0.899122807,76
95,KTGF561,0.548475322,0.494354553,0.004922112,0.070157769,1,0.515996484,0.143939394,0.143939394,88
96,KTGF562,0.748328787,0.574662553,6.11E-06,-0.002472085,1,0.979935378,0.789308176,0.789308176,106
97,KTGF565,0.479931027,0.37306382,0.033378887,-0.182698897,1,0.213903847,0.791666667,0.791666667,48
98,KTGF570,0.554160199,0.506485109,0.005633914,0.075059406,1,0.608247851,0.238095238,0.238095238,49
99,KTGF572,0.552595985,0.406464254,0.053057054,-0.23034117,1,0.079239916,0.689265537,0.689265537,59
