,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
70,KTGF130,0.935314311,0.712374685,0.105249811,0.324422273,1,0.004516625,0.977777778,0.977777778,75
71,KTGF136,0.712893231,0.622769795,0.006531297,-0.080816441,1,0.580937897,0.448979592,0.448979592,49
72,KTGF138,0.529501229,0.482979046,0.049561606,0.222624362,1,0.198640626,0.047619048,0.047619048,35
73,KTGF142,0.663028175,0.602444542,0.076807225,0.277141164,1,0.107006602,0.266666667,0.266666667,35
74,KTGF143,0.609948634,0.556832585,0.025312234,0.159098191,1,0.178801346,0.095890411,0.095890411,73
75,KTGF146,0.750880484,0.662463582,0.030093928,-0.173476014,1,0.214142896,0.295597484,0.295597484,53
76,KTGF147,0.503143629,0.444664989,0.011197191,0.105816783,1,0.359705721,0.181818182,0.181818182,77
77,KTGF148,0.593589623,0.549850841,0.035702714,0.188951619,1,0.053553807,0.152380952,0.152380952,105
78,KTGF150,0.332766744,0.272571361,0.013514523,0.116251981,1,0.280761863,0.363636364,0.363636364,88
79,KTGF153,0.481226009,0.422482914,0.000185552,-0.013621756,1,0.894094936,0.200680272,0.200680272,98
80,KTGF154,0.52961189,0.49017582,7.60E-05,-0.008719807,1,0.936111529,0.168582375,0.168582375,87
81,KTGF156,0.46233184,0.408838267,0.045115964,0.212405188,1,0.037741974,0.232638889,0.232638889,96
82,KTGF157,0.379339536,0.3105867,0.078747898,0.280620559,1,0.004684232,0.49,0.49,100
83,KTGF158,0.516136951,0.45620352,0.179676262,0.423882368,1,0.000229971,0.34741784,0.34741784,71
84,KTGF527,1.137018175,0.906300254,0.002235856,0.047284842,1,0.663629266,1.536398467,1.536398467,87
85,KTGF528,1.391280634,1.075052272,0.064291537,0.253557759,1,0.11934585,1.538461538,1.538461538,39
86,KTGF533,1.059736362,0.829260069,8.48E-06,0.002911637,1,0.979815866,1.14957265,1.14957265,78
87,KTGF540,0.463220645,0.307860134,0.000114373,-0.010694555,1,0.950638939,0.62962963,0.62962963,36
88,KTGF544,0.580658699,0.474919473,0.028025069,0.167406896,1,0.094266751,0.564356436,0.564356436,101
89,KTGF545,0.51380299,0.471624458,0.07142275,0.267250351,1,0.015869013,0.238683128,0.238683128,81
90,KTGF549,0.492542443,0.442773928,0.088542258,-0.297560512,1,0.073674738,0.225225225,0.225225225,37
91,KTGF550,0.800993454,0.586038447,0.001382228,-0.037178325,1,0.702457841,0.864197531,0.864197531,108
92,KTGF553,0.555014855,0.481174062,0.103530318,0.321761275,1,0.001474634,0.350877193,0.350877193,95
93,KTGF556,0.634618598,0.51801912,0.384265568,0.619891578,1,2.85E-08,0.974747475,0.974747475,66
94,KTGF557,0.781080142,0.595245602,0.000165315,0.012857487,1,0.912222351,0.899122807,0.899122807,76
95,KTGF561,0.555075174,0.502634314,0.037841367,0.194528576,1,0.069349027,0.143939394,0.143939394,88
96,KTGF562,0.698937411,0.548121025,0.047383177,0.217676772,1,0.024993901,0.789308176,0.789308176,106
97,KTGF565,0.440452354,0.341011502,0.031193787,-0.17661763,1,0.229807162,0.791666667,0.791666667,48
98,KTGF570,0.545262593,0.489752059,0.001353967,0.036796284,1,0.801806684,0.238095238,0.238095238,49
99,KTGF572,0.485657401,0.370765069,0.002381769,0.048803373,1,0.713571277,0.689265537,0.689265537,59
