,Participant,R,R2,RMSE,MAE,MSE,R2_CD,P_Value
79,KTGF156,0.510190223,0.260294063,0.253604152,0.206276665,0.064315066,0.259298359,1.10E-07
84,KTGF533,0.517193414,0.267489028,0.780275476,0.632638585,0.608829818,0.276035202,1.46E-06
55,K23557,0.537994005,0.289437549,0.557242377,0.420780749,0.310519067,0.298096813,2.23E-06
6,K23114,0.566974009,0.321459527,0.831185749,0.608211097,0.690869749,0.316880027,0.000253355
10,K23121,0.574666138,0.33024117,0.338393749,0.269283231,0.114510329,0.331469387,5.51E-06
83,KTGF528,0.623611059,0.388890752,0.788394136,0.587195479,0.621565313,0.401585235,2.22E-05
59,KTFG534,0.628701211,0.395265213,0.657004166,0.504524895,0.431654475,0.393777187,1.49E-13
57,K23563,0.647437661,0.419175525,0.519659604,0.409493387,0.270046104,0.430910409,1.53E-06
16,K23130,0.651699676,0.424712467,0.327380351,0.242239557,0.107177894,0.436210587,2.23E-05
32,K23156,0.652532284,0.425798382,0.595677112,0.476227705,0.354831221,0.419199651,1.59E-06
33,K23502,0.676462674,0.45760175,0.368328751,0.287246286,0.135666069,0.460210281,2.72E-11
26,K23147,-0.729303047,0.531882934,0.24986005,0.167512135,0.062430045,-0.433176681,1.48E-06
