,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
61,KTGF118,0.513134808,0.421348348,0.102628122,0.320356242,1,0.005391966,0.265765766,0.265765766,74
62,KTGF119,0.14342765,0.09855303,NA,NA,0,NA,0,0,66
63,KTGF120,0.301927124,0.255717656,0.045332311,0.212913859,1,0.070522979,0.205479452,0.205479452,73
64,KTGF122,0.472274327,0.365675253,0.102591482,0.32029905,1,0.002347871,0.473484848,0.473484848,88
65,KTGF124,0.698923774,0.502767816,5.31E-05,-0.007283618,1,0.956725185,0.75862069,0.75862069,58
66,KTGF125,0.270911445,0.226054945,0.052737585,0.229646652,1,0.028541609,0.04029304,0.04029304,91
67,KTGF126,0.420543399,0.31940232,0.099257132,0.315050999,1,0.002352397,0.816849817,0.816849817,91
68,KTGF127,0.470107091,0.414626032,0.012107847,0.110035664,1,0.529183245,0.076190476,0.076190476,35
69,KTGF129,0.552706374,0.435424421,0.057069513,0.238892263,1,0.019075987,0.5,0.5,96
70,KTGF130,0.974158294,0.761129938,0.046539015,0.215729032,1,0.0687621,0.981481481,0.981481481,72
71,KTGF136,0.625033832,0.527203628,0.050857085,0.225515156,1,0.119233327,0.448979592,0.448979592,49
72,KTGF138,0.363389744,0.31842549,0.113884732,0.33746812,1,0.050956648,0.049019608,0.049019608,34
73,KTGF142,0.433173116,0.319610101,0.284575717,0.533456387,1,0.001389364,0.282828283,0.282828283,33
74,KTGF143,0.332470291,0.258164198,0.092230882,0.303695378,1,0.009503097,0.097222222,0.097222222,72
75,KTGF146,0.656661343,0.476687841,0.01789384,0.133767859,1,0.339616161,0.295597484,0.295597484,53
76,KTGF147,0.293701327,0.247466813,0.011842062,0.10882124,1,0.349406228,0.179824561,0.179824561,76
77,KTGF148,0.281190188,0.238975688,0.053700704,0.231734124,1,0.019714046,0.148514851,0.148514851,101
78,KTGF150,0.31225066,0.268065675,0.063264043,0.251523445,1,0.061488992,0.380952381,0.380952381,56
79,KTGF153,0.308273354,0.244378912,0.107849846,0.328405003,1,0.000962042,0.200680272,0.200680272,98
80,KTGF154,0.358288638,0.289707582,0.009336128,0.096623643,1,0.379023572,0.17254902,0.17254902,85
81,KTGF156,0.293642512,0.244451042,0.101862023,0.319158303,1,0.001527225,0.232638889,0.232638889,96
82,KTGF157,0.37444841,0.290889456,0.055415558,0.235405092,1,0.019627973,0.496598639,0.496598639,98
83,KTGF158,0.447281825,0.378544444,0.303597133,0.550996491,1,6.39E-07,0.34741784,0.34741784,71
84,KTGF527,0.866989971,0.694049074,0.155987795,0.394952902,1,0.000200872,1.53968254,1.53968254,84
85,KTGF528,1.128177376,0.856334188,6.64E-05,-0.008149922,1,0.960727184,1.538461538,1.538461538,39
86,KTGF533,0.827121804,0.66633925,0.189272137,0.435054178,1,7.69E-05,1.16017316,1.16017316,77
87,KTGF540,0.543803326,0.392692284,0.000381752,-0.019538462,1,0.90994799,0.62962963,0.62962963,36
88,KTGF544,0.493362177,0.386525,0.228073607,0.477570526,1,8.65E-07,0.5625,0.5625,96
89,KTGF545,0.482452536,0.422051667,0.061198045,0.247382386,1,0.026943158,0.241666667,0.241666667,80
