,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
80,KTGF154,0.342025826,0.223405882,0.006219732,0.078865279,1,0.473093518,0.070588235,0.070588235,85
81,KTGF156,0.321091581,0.205687153,0.011398988,0.106766042,1,0.30050602,0.0625,0.0625,96
82,KTGF157,0.434555534,0.346678571,0.146536553,0.382800931,1,0.000100171,0.06122449,0.06122449,98
83,KTGF158,0.431074531,0.287061033,0.039620389,0.19904871,1,0.096084151,0.056338028,0.056338028,71
84,KTGF527,1.380009565,1.093962302,0.115489244,0.339837085,1,0.001563241,1.357142857,1.357142857,84
85,KTGF528,1.832687724,1.492430769,0.000416848,-0.020416844,1,0.90181609,1.820512821,1.820512821,39
86,KTGF533,0.874251071,0.609571429,0.009757268,0.098778883,1,0.392719064,0.311688312,0.311688312,77
87,KTGF540,0.630636304,0.50047963,0.031788042,-0.178292012,1,0.298171027,0.194444444,0.194444444,36
88,KTGF544,0.650855516,0.514901389,0.143849858,0.379275438,1,0.000138484,0.239583333,0.239583333,96
89,KTGF545,0.594284161,0.40172125,0.088582766,0.297628571,1,0.007335262,0.2125,0.2125,80
90,KTGF549,0.6838594,0.37447963,0.080813005,0.284276283,1,0.09289301,0.222222222,0.222222222,36
91,KTGF550,1.085039936,0.756458333,0.012030089,0.109681762,1,0.258477948,0.62962963,0.62962963,108
92,KTGF553,0.465958765,0.340978853,0.10331807,0.321431284,1,0.001679919,0.150537634,0.150537634,93
93,KTGF556,0.677149433,0.515209896,0.535093031,0.731500534,1,6.64E-12,0.8125,0.8125,64
94,KTGF557,0.614022947,0.395519737,0.096185172,0.310137344,1,0.006401323,0.184210526,0.184210526,76
95,KTGF561,0.440558217,0.337295455,0.001035501,0.032179208,1,0.765986621,0.045454545,0.045454545,88
96,KTGF562,0.763239518,0.491576101,0.082742317,0.287649642,1,0.00279087,0.339622642,0.339622642,106
97,KTGF565,0.635452515,0.493775362,0.000366916,0.019155061,1,0.899453225,0.369565217,0.369565217,46
98,KTGF570,0.588428751,0.381171528,0.004771685,0.069077384,1,0.640839887,0.145833333,0.145833333,48
99,KTGF572,0.980275623,0.774461494,0.066813184,0.258482463,1,0.050098099,0.689655172,0.689655172,58
