,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
87,KTGF540,0.827631165,0.680556481,0.005062387,-0.071150451,1,0.680075664,0.555555556,0.555555556,36
88,KTGF544,0.836753478,0.619362153,0.004037038,-0.063537689,1,0.538550366,1.09375,1.09375,96
89,KTGF545,1.006993797,0.907770417,0.010906569,0.104434522,1,0.356573542,0.375,0.375,80
90,KTGF549,0.928104769,0.858599074,0.020737671,-0.144005801,1,0.402074628,0.166666667,0.166666667,36
91,KTGF550,1.267802079,1.075494136,0.000206325,0.014364026,1,0.882701117,1.240740741,1.240740741,108
92,KTGF553,0.881969862,0.732250538,0.130257358,0.360911842,1,0.000379403,0.52688172,0.52688172,93
93,KTGF556,0.772987147,0.587629167,0.06725755,0.259340607,1,0.038510016,1.3125,1.3125,64
94,KTGF557,1.126577755,0.915333333,0.066512419,0.257900017,1,0.024496329,1.315789474,1.315789474,76
95,KTGF561,0.736921213,0.679092803,0.024262422,0.155763996,1,0.147291606,0.193181818,0.193181818,88
96,KTGF562,1.230253604,0.946758805,0.019281462,0.138857702,1,0.155734764,1.443396226,1.443396226,106
97,KTGF565,0.752031937,0.565421739,0.051018922,-0.225873687,1,0.131203737,0.826086957,0.826086957,46
98,KTGF570,0.748888883,0.666582639,0.052332558,0.228763104,1,0.117827217,0.1875,0.1875,48
99,KTGF572,0.700870714,0.597605747,8.41E-06,0.002900564,1,0.982759694,0.534482759,0.534482759,58
