,Participant,R,R2,R_spearman,RMSE,MAE,MSE,R2_CD,P_Value,p_value_spearman
58,K23565,0.27469823,0.075459118,0.280974548,0.485245362,0.38336708,0.235463061,0.088906882,0.026793959,0.016183291
85,KTGF540,-0.277985649,0.077276021,-0.335763072,0.470384978,0.343975824,0.221262027,-0.132270484,0.100675402,0.831425942
96,KTGF570,-0.283578965,0.080417029,-0.230210164,0.46442495,0.329938575,0.215690534,-0.208771901,0.050795129,0.071719334
90,KTGF553,0.299016588,0.08941092,0.242606265,0.429603814,0.335945518,0.184559437,0.09524988,0.003596557,0.043898168
42,K23529,0.306719726,0.09407699,0.318699811,0.598529116,0.476401147,0.358237103,0.112861795,0.033971826,0.022168338
17,K23131,0.313292759,0.098152353,0.321583556,0.381905744,0.301631605,0.145851998,0.108443917,0.00312971,0.002364444
1,K23101,0.314571541,0.098955255,0.382681979,0.247737739,0.196806198,0.061373987,0.104344084,0.005032418,0.000127601
97,KTGF572,0.316309975,0.100052001,0.245156405,0.417909478,0.330181324,0.174648332,0.112773353,0.015564525,0.051205371
25,K23145,0.347290666,0.120610807,0.230239208,0.428761943,0.267421852,0.183836803,0.1330609,0.006553971,0.111182737
21,K23139,0.357238522,0.127619362,0.275444211,0.1241688,0.046089439,0.015417891,0.131547416,5.76E-05,0.004273806
22,K23142,0.362419795,0.131348108,0.309228182,0.157143079,0.073475296,0.024693947,0.139319937,0.000115993,0.001086523
91,KTGF556,0.382273032,0.146132671,0.376762255,0.681326535,0.548615825,0.464205848,0.159090365,0.001825617,0.000387849
69,KTGF136,0.390225947,0.15227629,0.442360097,0.583759734,0.457004341,0.340775427,0.168756136,0.005573094,0.000914747
4,K23107,0.390908344,0.152809333,0.329058615,0.188322545,0.151456729,0.035465381,0.159843193,0.002413476,0.002175466
5,K23109,0.394042763,0.155269699,0.289020485,0.350989822,0.246759877,0.123193855,0.163428313,0.000121711,0.001434157
77,KTGF153,0.399414086,0.159531612,0.447394039,0.287213292,0.194318821,0.082491475,0.137333378,4.62E-05,3.13E-06
79,KTGF156,0.416785504,0.173710157,0.406066126,0.267329737,0.221191319,0.071465188,0.176952065,2.40E-05,0.000438376
10,K23121,0.44335009,0.196559302,0.391718457,0.367609988,0.293446213,0.135137104,0.211046801,0.000786257,0.001359126
68,KTGF130,0.449822451,0.202340237,0.325871228,0.812400901,0.671116821,0.659995223,0.212850989,7.37E-05,0.015824774
55,K23557,0.450475098,0.202927814,0.535562187,0.589662405,0.452191826,0.347701752,0.214048366,0.000115877,3.23E-07
11,K23122,0.464318394,0.215591571,0.384721082,0.256474279,0.177694253,0.065779056,0.217079248,0.01116747,0.042141567
48,K23540,0.469693629,0.220612106,0.468529704,0.623388274,0.486259695,0.38861294,0.234711947,0.000506473,0.000797511
47,K23537,0.499473492,0.249473769,0.531036544,0.497318559,0.38258901,0.247325749,0.25680955,4.01E-07,6.89E-08
92,KTGF557,0.50098732,0.250988295,0.503894101,0.631410362,0.529452485,0.398679045,0.248383558,4.04E-06,9.00E-06
23,K23143,0.501747554,0.251750608,0.19827498,0.147850314,0.064991026,0.021859715,0.225701281,1.19E-09,0.000156352
86,KTGF544,0.504838608,0.25486202,0.315495502,0.463404172,0.326353177,0.214743427,0.236963616,1.56E-07,0.001464736
46,K23536,0.510826481,0.260943693,0.32878803,0.377141543,0.243594076,0.142235743,0.262429886,3.04E-05,0.010236383
37,K23509,0.510999645,0.261120637,0.535911524,0.475089323,0.376209217,0.225709865,0.267506003,3.64E-07,1.90E-09
81,KTGF158,0.52051292,0.2709337,0.475155579,0.452195813,0.3715482,0.204481053,0.271664476,3.27E-06,2.99E-05
41,K23526,0.522716205,0.273232231,0.572548818,0.751867981,0.612256217,0.565305461,0.278133722,3.39E-07,4.16E-08
56,K23559,0.549704016,0.302174506,0.511455465,0.511790962,0.369007823,0.261929989,0.294155277,4.57E-09,1.02E-07
59,KTFG534,0.575907553,0.331669509,0.581883924,0.687075166,0.539197798,0.472072283,0.337013736,3.77E-11,1.26E-11
84,KTGF533,0.58522149,0.342484192,0.573205911,0.740147313,0.553524675,0.547818045,0.348584828,2.27E-08,7.06E-08
16,K23130,0.601976471,0.362375671,0.505076588,0.353531565,0.240747309,0.124984567,0.342541889,0.000130445,0.001141895
33,K23502,0.633339285,0.40111865,0.635257571,0.386191286,0.296770074,0.14914371,0.406585288,1.08E-09,2.23E-10
83,KTGF528,0.638184104,0.407278951,0.673634471,0.779529092,0.620973789,0.607665605,0.414967241,1.24E-05,1.04E-06
32,K23156,0.668321518,0.446653651,0.549670789,0.586182921,0.352192424,0.343610417,0.437566261,7.15E-07,3.74E-06
6,K23114,0.68312458,0.466659192,0.798033461,0.726808648,0.532277815,0.528250811,0.477674801,3.18E-06,4.62E-09
49,K23541,0.684569842,0.468635868,0.614930677,0.512901807,0.377719556,0.263068264,0.468609819,4.20E-08,3.24E-07
