,Participant,RMSE,MAE,R2,R,valid_correlations,p_value,meanYactual,meanY,Count
61,KTGF118,0.440707014,0.402694097,0.02593777,0.161052074,1,0.170436371,0.265765766,0.265765766,74
62,KTGF119,0.342082796,0.329566423,NA,NA,0,NA,0,0,67
63,KTGF120,0.471118516,0.4265885,0.000598761,-0.024469595,1,0.834928522,0.2,0.2,75
64,KTGF122,0.512530784,0.407503579,0.004072366,0.06381509,1,0.552427988,0.486891386,0.486891386,89
65,KTGF124,0.633505298,0.498778087,0.000307202,-0.017527166,1,0.894257396,0.766666667,0.766666667,60
66,KTGF125,0.536346913,0.518804096,7.54E-05,0.00868204,1,0.934902775,0.04029304,0.04029304,91
67,KTGF126,0.549033235,0.446322257,0.005814898,0.076255478,1,0.465086593,0.840425532,0.840425532,94
68,KTGF127,0.46800718,0.437215692,0.00151302,0.038897561,1,0.819203037,0.072072072,0.072072072,37
69,KTGF129,0.553721002,0.450832159,0.014035642,0.118472115,1,0.242834881,0.498316498,0.498316498,99
70,KTGF130,0.988588968,0.759304262,0.000678529,-0.026048591,1,0.824441491,0.977777778,0.977777778,75
71,KTGF136,0.650730837,0.549231038,0.01273856,-0.11286523,1,0.440035612,0.448979592,0.448979592,49
72,KTGF138,0.512639085,0.501500265,0.016031171,0.126614261,1,0.468586406,0.047619048,0.047619048,35
73,KTGF142,0.54346404,0.455928225,0.065568849,0.256064151,1,0.137607127,0.266666667,0.266666667,35
74,KTGF143,0.512673219,0.483637569,0.001952961,0.044192318,1,0.710455918,0.095890411,0.095890411,73
75,KTGF146,0.697484895,0.609103508,0.018350878,-0.135465412,1,0.333466761,0.295597484,0.295597484,53
76,KTGF147,0.468183866,0.428799143,0.025646534,-0.160145351,1,0.164139823,0.181818182,0.181818182,77
77,KTGF148,0.503977159,0.461910146,0.000473368,-0.021757024,1,0.82563714,0.152380952,0.152380952,105
78,KTGF150,0.359970831,0.306283317,0.002974697,0.054540783,1,0.613770766,0.363636364,0.363636364,88
79,KTGF153,0.481632507,0.435748329,0.021521231,-0.146701161,1,0.149458945,0.200680272,0.200680272,98
80,KTGF154,0.474598753,0.442124758,0.024247136,-0.155714918,1,0.149809145,0.168582375,0.168582375,87
81,KTGF156,0.436140732,0.3785506,0.06109148,0.247166907,1,0.015190565,0.232638889,0.232638889,96
82,KTGF157,0.371095286,0.313324,0.039951391,0.199878441,1,0.046171425,0.49,0.49,100
83,KTGF158,0.565436268,0.515363425,0.022115484,0.148712758,1,0.215816279,0.34741784,0.34741784,71
84,KTGF527,1.270728539,1.033459535,0.001072796,-0.032753565,1,0.763287155,1.536398467,1.536398467,87
85,KTGF528,1.389493858,1.086898102,0.045116773,0.212407093,1,0.194219855,1.538461538,1.538461538,39
86,KTGF533,1.084394617,0.831477183,0.00250619,0.050061858,1,0.663367069,1.14957265,1.14957265,78
87,KTGF540,0.449400346,0.294374952,0.004099357,-0.064026218,1,0.710651865,0.62962963,0.62962963,36
88,KTGF544,0.56337981,0.425300746,0.008756486,-0.093576095,1,0.351974246,0.564356436,0.564356436,101
89,KTGF545,0.510446953,0.469876021,0.021251862,0.145780183,1,0.194088538,0.238683128,0.238683128,81
