"X","Variable","Importance","Participant"
"KTGF130.38","Acquire",0.004960833,"KTGF130"
"KTGF142.54","Acquire",0.004113939,"KTGF142"
"KTGF143.55","Acquire",0.000346083,"KTGF143"
"KTGF147.40","Acquire",0.004865737,"KTGF147"
"KTGF156.49","Acquire",0.001231014,"KTGF156"
"KTGF158.49","Acquire",0.002086873,"KTGF158"
"KTGF527.58","Acquire",0.004834738,"KTGF527"
"KTGF528.56","Acquire",0.031178889,"KTGF528"
"KTGF533.48","Acquire",0.003022424,"KTGF533"
"KTGF540.46","Acquire",0.018776444,"KTGF540"
"KTGF544.60","Acquire",0.00735366,"KTGF544"
"KTGF545.40","Acquire",0.0010572,"KTGF545"
"KTGF549.62","Acquire",0.006168278,"KTGF549"
"KTGF550.40","Acquire",0.005113599,"KTGF550"
"KTGF556.55","Acquire",0.001256698,"KTGF556"
"KTGF557.44","Acquire",0.003645736,"KTGF557"
"KTGF561.46","Acquire",0.001149299,"KTGF561"
"KTGF562.38","Acquire",0.009771618,"KTGF562"
"KTGF565.55","Acquire",0.002941638,"KTGF565"
"KTGF570.34","Acquire",0.002771417,"KTGF570"
"K23101.21","Adjectives",0.000985239,"K23101"
"K23106.22","Adjectives",0.00883356,"K23106"
"K23107.18","Adjectives",0.001455736,"K23107"
"K23109.20","Adjectives",0.004779874,"K23109"
"K23114.21","Adjectives",0.003214742,"K23114"
"K23115.21","Adjectives",0.006933154,"K23115"
"K23117.20","Adjectives",0.0020318,"K23117"
"K23121.22","Adjectives",0.001186667,"K23121"
"K23122.20","Adjectives",0.00263092,"K23122"
"K23125.23","Adjectives",0.008659114,"K23125"
"K23126.21","Adjectives",0.00277326,"K23126"
"K23128.24","Adjectives",0.003522341,"K23128"
"K23130.21","Adjectives",0.001666829,"K23130"
"K23131.18","Adjectives",0.009385824,"K23131"
"K23133.25","Adjectives",0.001233426,"K23133"
"K23134.25","Adjectives",0.001438049,"K23134"
"K23136.24","Adjectives",0.003669814,"K23136"
"K23139.20","Adjectives",0.002427934,"K23139"
"K23143.19","Adjectives",4.09e-05,"K23143"
"K23144.22","Adjectives",0.00445199,"K23144"
"K23145.23","Adjectives",0.000727278,"K23145"
"K23148.22","Adjectives",0.003473212,"K23148"
"K23150.20","Adjectives",0.002682517,"K23150"
"K23151.23","Adjectives",0.001836752,"K23151"
"K23153.23","Adjectives",0.319035,"K23153"
"K23156.17","Adjectives",0.000172727,"K23156"
"K23502.20","Adjectives",0.007296907,"K23502"
"K23503.22","Adjectives",0.008580904,"K23503"
"K23507.21","Adjectives",0.000614886,"K23507"
"K23508.19","Adjectives",0.002250595,"K23508"
"K23509.22","Adjectives",0.009839311,"K23509"
"K23510.23","Adjectives",0.014098011,"K23510"
"K23517.23","Adjectives",0.003481511,"K23517"
"K23521.22","Adjectives",0.009876517,"K23521"
"K23526.21","Adjectives",0.019754786,"K23526"
"K23529.23","Adjectives",0.008995611,"K23529"
"K23531.21","Adjectives",0.005000925,"K23531"
"K23532.25","Adjectives",0.006827448,"K23532"
"K23533.22","Adjectives",0.006397852,"K23533"
"K23536.21","Adjectives",0.000224,"K23536"
"K23537.23","Adjectives",0.004114138,"K23537"
"K23540.23","Adjectives",0.015179059,"K23540"
"K23541.22","Adjectives",0.00093308,"K23541"
"K23548.23","Adjectives",0.008097654,"K23548"
"K23552.23","Adjectives",0.007950913,"K23552"
"K23555.23","Adjectives",0.034521725,"K23555"
"K23556.22","Adjectives",0.002668865,"K23556"
"K23557.23","Adjectives",0.00337852,"K23557"
"K23559.19","Adjectives",0.001547054,"K23559"
"K23563.23","Adjectives",0.001766311,"K23563"
"K23565.23","Adjectives",0.002289436,"K23565"
"KTFG534.22","Adjectives",0.019734634,"KTFG534"
"KTGF118.23","Adjectives",0.001705117,"KTGF118"
"KTGF120.23","Adjectives",0.004329242,"KTGF120"
"KTGF122.22","Adjectives",0.009444329,"KTGF122"
"KTGF124.23","Adjectives",0.01766792,"KTGF124"
"KTGF125.23","Adjectives",0.000629722,"KTGF125"
"KTGF126.18","Adjectives",0.001685861,"KTGF126"
"KTGF130.21","Adjectives",0.01340387,"KTGF130"
"KTGF138.20","Adjectives",0.007038275,"KTGF138"
"KTGF142.24","Adjectives",0.011298202,"KTGF142"
"KTGF143.23","Adjectives",0.001315028,"KTGF143"
