"X","Variable","Importance","Participant"
"K23144.33","Communication",0.001444446,"K23144"
"K23145.40","Communication",0.000200667,"K23145"
"K23148.39","Communication",0.003229612,"K23148"
"K23502.33","Communication",0.001529022,"K23502"
"K23503.40","Communication",0.010221772,"K23503"
"K23510.43","Communication",0.003451067,"K23510"
"K23526.35","Communication",0.010820437,"K23526"
"K23529.42","Communication",0.001438542,"K23529"
"K23531.37","Communication",0.002273806,"K23531"
"K23532.44","Communication",0.007977195,"K23532"
"K23533.30","Communication",0.004873432,"K23533"
"K23536.36","Communication",0.003286489,"K23536"
"K23537.44","Communication",0.001651565,"K23537"
"K23541.36","Communication",0.001564067,"K23541"
"K23548.43","Communication",0.002916785,"K23548"
"K23551.31","Communication",0.009853966,"K23551"
"K23552.42","Communication",0.000994609,"K23552"
"K23557.42","Communication",0.00375202,"K23557"
"K23559.34","Communication",0.002895109,"K23559"
"KTGF118.42","Communication",0.008019252,"KTGF118"
"KTGF120.43","Communication",0.001413078,"KTGF120"
"KTGF124.38","Communication",0.008229798,"KTGF124"
"KTGF125.42","Communication",0.000261319,"KTGF125"
"KTGF136.28","Communication",0.003079627,"KTGF136"
"KTGF138.35","Communication",0,"KTGF138"
"KTGF142.44","Communication",0.00269598,"KTGF142"
"KTGF143.43","Communication",0.003283472,"KTGF143"
"KTGF146.33","Communication",0.003792352,"KTGF146"
"KTGF147.33","Communication",0.001449947,"KTGF147"
"KTGF148.42","Communication",0.005929545,"KTGF148"
"KTGF153.33","Communication",0.001337177,"KTGF153"
"KTGF156.40","Communication",0.00095334,"KTGF156"
"KTGF527.48","Communication",0.004650833,"KTGF527"
"KTGF528.42","Communication",0.001597949,"KTGF528"
"KTGF533.38","Communication",0.000551126,"KTGF533"
"KTGF540.39","Communication",0.007096111,"KTGF540"
"KTGF544.46","Communication",0.004242847,"KTGF544"
"KTGF549.47","Communication",0.004836926,"KTGF549"
"KTGF550.33","Communication",0.022299728,"KTGF550"
"KTGF556.45","Communication",0.007449458,"KTGF556"
"KTGF562.30","Communication",0.010342007,"KTGF562"
"KTGF565.42","Communication",0.006676899,"KTGF565"
"KTGF572.30","Communication",0.006500621,"KTGF572"
"K23510.58","Comma",0.01360049,"K23510"
"K23532.71","Comma",0.005833471,"K23532"
"K23537.65","Comma",0.001821551,"K23537"
"KTGF143.69","Comma",0.000370648,"KTGF143"
"KTGF572.46","Comma",0.001162759,"KTGF572"
"K23101.54","Compound",0.005221299,"K23101"
"K23106.57","Compound",0.005568872,"K23106"
"K23107.43","Compound",0.000895345,"K23107"
"K23109.42","Compound",0.005306756,"K23109"
"K23114.38","Compound",0.005992234,"K23114"
"K23115.55","Compound",0.002054279,"K23115"
"K23117.45","Compound",0.023317763,"K23117"
"K23120.35","Compound",0.004589047,"K23120"
"K23121.57","Compound",0.010725086,"K23121"
"K23122.45","Compound",0.011516184,"K23122"
"K23125.67","Compound",0.006674265,"K23125"
"K23126.49","Compound",0.003535379,"K23126"
"K23128.67","Compound",0.002649024,"K23128"
"K23130.59","Compound",0.00410665,"K23130"
"K23131.45","Compound",0.006176046,"K23131"
"K23133.71","Compound",0.00182262,"K23133"
"K23134.78","Compound",0.000145366,"K23134"
"K23136.72","Compound",0.008084574,"K23136"
"K23139.33","Compound",0.002472323,"K23139"
"K23143.40","Compound",0.00203139,"K23143"
"K23144.49","Compound",0.004245694,"K23144"
"K23145.57","Compound",0.017613144,"K23145"
"K23148.61","Compound",0.001480909,"K23148"
"K23150.49","Compound",0.003994051,"K23150"
"K23151.56","Compound",0.003143932,"K23151"
"K23153.61","Compound",0.01460963,"K23153"
"K23155.42","Compound",0.009252744,"K23155"
"K23156.38","Compound",0.000472727,"K23156"
"K23502.46","Compound",0.006223884,"K23502"
"K23503.67","Compound",0.007053202,"K23503"
"K23507.42","Compound",0.001248676,"K23507"
"K23508.51","Compound",0.005041464,"K23508"
"K23509.57","Compound",0.004518811,"K23509"
"K23510.60","Compound",0.010531,"K23510"
"K23517.49","Compound",0.004004916,"K23517"
"K23521.60","Compound",0.033051209,"K23521"
"K23526.57","Compound",0.008584156,"K23526"
"K23529.65","Compound",0.007857486,"K23529"
"K23531.58","Compound",0.005194409,"K23531"
"K23532.73","Compound",0.008933425,"K23532"
"K23533.46","Compound",0.006568728,"K23533"
"K23536.59","Compound",0.000620667,"K23536"
"K23537.67","Compound",0.002330645,"K23537"
"K23540.52","Compound",0.003672301,"K23540"
"K23541.52","Compound",0.00203552,"K23541"
"K23548.65","Compound",0.017980154,"K23548"
"K23551.45","Compound",0.002058281,"K23551"
"K23552.64","Compound",0.007500369,"K23552"
"K23555.58","Compound",0.017870783,"K23555"
"K23556.55","Compound",0.005134306,"K23556"
"K23557.60","Compound",0.010220422,"K23557"
"K23559.50","Compound",0.032746571,"K23559"
"K23563.48","Compound",0.001400681,"K23563"
"K23565.60","Compound",0.002144656,"K23565"
"KTFG534.57","Compound",0.045349447,"KTFG534"
"KTGF118.67","Compound",0.002267144,"KTGF118"
"KTGF120.65","Compound",0.005705598,"KTGF120"
"KTGF122.53","Compound",0.004846121,"KTGF122"
"KTGF124.56","Compound",0.006093726,"KTGF124"
"KTGF125.61","Compound",0.002505084,"KTGF125"
"KTGF127.42","Compound",0.001909067,"KTGF127"
"KTGF129.36","Compound",0.00299448,"KTGF129"
"KTGF130.47","Compound",0.005741065,"KTGF130"
"KTGF136.43","Compound",0.001109845,"KTGF136"
"KTGF138.57","Compound",0.004789294,"KTGF138"
"KTGF142.66","Compound",0.005180465,"KTGF142"
"KTGF143.72","Compound",0.00271562,"KTGF143"
"KTGF146.51","Compound",0.005080507,"KTGF146"
"KTGF147.49","Compound",0.002528702,"KTGF147"
"KTGF148.62","Compound",0.002735716,"KTGF148"
"KTGF153.48","Compound",0.003816279,"KTGF153"
"KTGF154.40","Compound",0.008211396,"KTGF154"
"KTGF156.62","Compound",0.003365549,"KTGF156"
"KTGF157.41","Compound",0.01008922,"KTGF157"
"KTGF158.62","Compound",0.004379775,"KTGF158"
"KTGF527.72","Compound",0.013903817,"KTGF527"
"KTGF528.74","Compound",0.004477282,"KTGF528"
"KTGF533.61","Compound",0.006053775,"KTGF533"
"KTGF540.56","Compound",0.012000722,"KTGF540"
"KTGF544.74","Compound",0.004801958,"KTGF544"
"KTGF545.50","Compound",0.004987892,"KTGF545"
"KTGF549.76","Compound",0.007474,"KTGF549"
"KTGF550.45","Compound",0.00862387,"KTGF550"
"KTGF553.51","Compound",0.003604875,"KTGF553"
"KTGF556.67","Compound",0.028012542,"KTGF556"
"KTGF557.55","Compound",0.011413605,"KTGF557"
"KTGF561.55","Compound",0.003591527,"KTGF561"
"KTGF562.44","Compound",0.020040389,"KTGF562"
"KTGF565.67","Compound",0.006358884,"KTGF565"
"KTGF570.42","Compound",0.00295225,"KTGF570"
"KTGF572.47","Compound",0.006420489,"KTGF572"
"K23508.32","Conflict",0.004652429,"K23508"
"K23540.38","Conflict",0.003390693,"K23540"
"KTGF136.27","Conflict",0.002000497,"KTGF136"
"KTGF556.44","Conflict",0.001307354,"KTGF556"
"K23115.19","Conjunctions",0.001883811,"K23115"
"K23121.20","Conjunctions",0.006601988,"K23121"
"K23125.20","Conjunctions",0.003041799,"K23125"
"K23126.18","Conjunctions",0.001714932,"K23126"
"K23128.21","Conjunctions",0.00359594,"K23128"
"K23133.22","Conjunctions",0.002819676,"K23133"
"K23134.22","Conjunctions",0.000153951,"K23134"
"K23136.21","Conjunctions",0.004961147,"K23136"
"K23144.20","Conjunctions",0.003654607,"K23144"
"K23145.20","Conjunctions",0.000273733,"K23145"
"K23148.20","Conjunctions",0.002264691,"K23148"
"K23151.20","Conjunctions",0.010673009,"K23151"
"K23153.20","Conjunctions",0.216332463,"K23153"
"K23503.20","Conjunctions",0.008486493,"K23503"
"K23507.19","Conjunctions",0.002133954,"K23507"
"K23509.19","Conjunctions",0.031653667,"K23509"
"K23510.20","Conjunctions",0.010125198,"K23510"
"K23517.20","Conjunctions",0.010858498,"K23517"
"K23521.19","Conjunctions",0.003559442,"K23521"
"K23526.19","Conjunctions",0.013061031,"K23526"
"K23529.20","Conjunctions",0.025696514,"K23529"
"K23531.19","Conjunctions",0.001635097,"K23531"
"K23532.22","Conjunctions",0.011218805,"K23532"
"K23533.20","Conjunctions",0.00462787,"K23533"
"K23537.20","Conjunctions",0.011543493,"K23537"
"K23540.20","Conjunctions",0.000410458,"K23540"
"K23548.20","Conjunctions",0.00506612,"K23548"
"K23551.17","Conjunctions",0.006886198,"K23551"
"K23552.20","Conjunctions",0.003681565,"K23552"
"K23555.20","Conjunctions",0.005408053,"K23555"
"K23556.20","Conjunctions",0.011663459,"K23556"
"K23557.20","Conjunctions",0.01117948,"K23557"
"K23559.17","Conjunctions",0.003737027,"K23559"
"K23563.20","Conjunctions",0.001066667,"K23563"
"K23565.20","Conjunctions",0.000678051,"K23565"
"KTFG534.19","Conjunctions",0.013687861,"KTFG534"
"KTGF118.20","Conjunctions",0.002877991,"KTGF118"
"KTGF120.20","Conjunctions",0.005701717,"KTGF120"
"KTGF122.20","Conjunctions",0.008051545,"KTGF122"
"KTGF124.20","Conjunctions",0.006587839,"KTGF124"
"KTGF125.20","Conjunctions",0.001172359,"KTGF125"
"KTGF142.21","Conjunctions",0.009025212,"KTGF142"
"KTGF143.20","Conjunctions",0.001715824,"KTGF143"
"KTGF146.18","Conjunctions",0.005921849,"KTGF146"
"KTGF147.19","Conjunctions",0.001200772,"KTGF147"
"KTGF148.20","Conjunctions",0.004059188,"KTGF148"
"KTGF153.20","Conjunctions",0.000524313,"KTGF153"
"KTGF154.19","Conjunctions",0.001164729,"KTGF154"
"KTGF156.20","Conjunctions",0.003744233,"KTGF156"
"KTGF158.21","Conjunctions",0.005291737,"KTGF158"
"KTGF527.23","Conjunctions",0.003212651,"KTGF527"
"KTGF528.20","Conjunctions",0.003770479,"KTGF528"
"KTGF533.20","Conjunctions",0.004564952,"KTGF533"
"KTGF540.21","Conjunctions",0.008955519,"KTGF540"
"KTGF544.21","Conjunctions",0.007792625,"KTGF544"
"KTGF545.20","Conjunctions",0.010558533,"KTGF545"
"KTGF549.23","Conjunctions",0.007407537,"KTGF549"
"KTGF553.18","Conjunctions",0.008643907,"KTGF553"
"KTGF556.20","Conjunctions",0.00089524,"KTGF556"
"KTGF557.20","Conjunctions",0.007778877,"KTGF557"
"KTGF561.19","Conjunctions",0.003942727,"KTGF561"
"KTGF565.20","Conjunctions",0.003408145,"KTGF565"
"KTGF572.18","Conjunctions",0.009390039,"KTGF572"
"K23153.58","Conversation",0.000527259,"K23153"
"K23532.67","Conversation",0.000456805,"K23532"
"K23552.59","Conversation",0.001466797,"K23552"
"KTGF158.58","Conversation",0.027502967,"KTGF158"
"KTGF528.69","Conversation",0.000122051,"KTGF528"
"K23106.42","Culture",0.002602526,"K23106"
"K23107.27","Culture",0.000116425,"K23107"
"K23115.36","Culture",0.00179594,"K23115"
"K23128.44","Culture",0.010451528,"K23128"
"K23130.41","Culture",0.008918171,"K23130"
"K23133.52","Culture",3.61e-05,"K23133"
"K23134.54","Culture",0,"K23134"
"K23136.48","Culture",0.001444775,"K23136"
"K23156.23","Culture",0.000348545,"K23156"
"K23507.28","Culture",0.000276712,"K23507"
"K23531.40","Culture",0.003735355,"K23531"
"K23532.47","Culture",0.008751011,"K23532"
"K23536.40","Culture",0.0004775,"K23536"
"KTGF125.44","Culture",0.000407084,"KTGF125"
"KTGF127.30","Culture",0.004080152,"KTGF127"
"KTGF136.32","Culture",0.004320719,"KTGF136"
"KTGF138.38","Culture",0.000468,"KTGF138"
"KTGF528.47","Culture",0.002011282,"KTGF528"
"KTGF544.50","Culture",0.002230813,"KTGF544"
"KTGF549.52","Culture",0.00452187,"KTGF549"
"K23101.14","Determiners",0.003315744,"K23101"
"K23106.15","Determiners",0.003943551,"K23106"
"K23107.13","Determiners",0.002736184,"K23107"
"K23109.14","Determiners",0.007805304,"K23109"
"K23114.15","Determiners",0.014910463,"K23114"
"K23115.14","Determiners",0.01771805,"K23115"
"K23117.14","Determiners",0.006786385,"K23117"
"K23120.14","Determiners",0.003514796,"K23120"
"K23121.15","Determiners",0.001761309,"K23121"
"K23122.15","Determiners",0.00282981,"K23122"
"K23125.15","Determiners",0.004387507,"K23125"
"K23126.13","Determiners",0.006224557,"K23126"
"K23128.16","Determiners",0.002855024,"K23128"
"K23130.15","Determiners",0.014297105,"K23130"
"K23131.13","Determiners",0.008437985,"K23131"
"K23133.16","Determiners",0.001462907,"K23133"
"K23134.16","Determiners",0.003134634,"K23134"
"K23136.16","Determiners",0.00229355,"K23136"
"K23139.14","Determiners",0.001636168,"K23139"
"K23142.13","Determiners",0.008469895,"K23142"
"K23143.14","Determiners",0.000378923,"K23143"
"K23144.15","Determiners",0.002706085,"K23144"
"K23145.15","Determiners",0.061285944,"K23145"
"K23148.15","Determiners",0.001243697,"K23148"
"K23150.14","Determiners",0.008024421,"K23150"
"K23151.15","Determiners",0.009228308,"K23151"
"K23153.14","Determiners",0.015736185,"K23153"
"K23155.15","Determiners",0.003177643,"K23155"
"K23156.12","Determiners",0.001357318,"K23156"
"K23502.14","Determiners",0.014299431,"K23502"
"K23503.15","Determiners",0.007462904,"K23503"
"K23507.15","Determiners",0.00248695,"K23507"
"K23508.14","Determiners",0.008609862,"K23508"
"K23509.14","Determiners",0.006793386,"K23509"
"K23510.15","Determiners",0.019135067,"K23510"
"K23517.15","Determiners",0.015852436,"K23517"
"K23521.14","Determiners",0.008379741,"K23521"
"K23526.14","Determiners",0.006110643,"K23526"
"K23529.15","Determiners",0.018329611,"K23529"
"K23531.14","Determiners",0.007757742,"K23531"
"K23532.17","Determiners",0.00668731,"K23532"
"K23533.15","Determiners",0.006271442,"K23533"
"K23536.14","Determiners",0.283043733,"K23536"
"K23537.15","Determiners",0.004998623,"K23537"
"K23540.15","Determiners",0.009685216,"K23540"
"K23541.15","Determiners",0.00346388,"K23541"
"K23548.15","Determiners",0.007333841,"K23548"
"K23551.13","Determiners",0.017390034,"K23551"
"K23552.15","Determiners",0.004006971,"K23552"
"K23555.15","Determiners",0.052837651,"K23555"
"K23556.15","Determiners",0.008799094,"K23556"
"K23557.15","Determiners",0.012541873,"K23557"
"K23559.12","Determiners",0.004719429,"K23559"
"K23563.15","Determiners",0.0284472,"K23563"
"K23565.15","Determiners",0.002563641,"K23565"
"KTFG534.14","Determiners",0.010065741,"KTFG534"
"KTGF118.15","Determiners",0.001896,"KTGF118"
"KTGF120.15","Determiners",0.006023379,"KTGF120"
"KTGF122.15","Determiners",0.006760649,"KTGF122"
"KTGF124.15","Determiners",0.008050977,"KTGF124"
"KTGF125.15","Determiners",0.001496945,"KTGF125"
"KTGF126.12","Determiners",0.00397167,"KTGF126"
"KTGF127.14","Determiners",0.002186705,"KTGF127"
"KTGF129.14","Determiners",0.003797125,"KTGF129"
"KTGF130.14","Determiners",0.010465611,"KTGF130"
"KTGF136.14","Determiners",0.011160516,"KTGF136"
"KTGF138.14","Determiners",0.002226235,"KTGF138"
"KTGF142.15","Determiners",0.007641091,"KTGF142"
"KTGF143.15","Determiners",0.001326898,"KTGF143"
"KTGF146.13","Determiners",0.005675245,"KTGF146"
"KTGF147.14","Determiners",0.003051272,"KTGF147"
"KTGF148.15","Determiners",0.004649327,"KTGF148"
"KTGF150.14","Determiners",0.006347798,"KTGF150"
"KTGF153.15","Determiners",0.004162667,"KTGF153"
"KTGF154.14","Determiners",0.005126384,"KTGF154"
"KTGF156.15","Determiners",0.003435523,"KTGF156"
"KTGF157.14","Determiners",0.004606736,"KTGF157"
"KTGF158.16","Determiners",0.001462808,"KTGF158"
"KTGF527.17","Determiners",0.00610554,"KTGF527"
"KTGF528.15","Determiners",0.003420034,"KTGF528"
"KTGF533.15","Determiners",0.002926658,"KTGF533"
"KTGF540.15","Determiners",0.049094981,"KTGF540"
"KTGF544.16","Determiners",0.008498625,"KTGF544"
"KTGF545.14","Determiners",0.003982367,"KTGF545"
"KTGF549.18","Determiners",0.01112763,"KTGF549"
"KTGF550.14","Determiners",0.004209309,"KTGF550"
"KTGF553.13","Determiners",0.005226738,"KTGF553"
"KTGF556.15","Determiners",0.023640052,"KTGF556"
"KTGF557.15","Determiners",0.006603816,"KTGF557"
"KTGF561.14","Determiners",0.004978485,"KTGF561"
"KTGF562.12","Determiners",0.010708255,"KTGF562"
"KTGF565.15","Determiners",0.003429768,"KTGF565"
"KTGF570.14","Determiners",0.001227264,"KTGF570"
"KTGF572.14","Determiners",0.005016491,"KTGF572"
"K23101.8","Dictionary",0.002407051,"K23101"
"K23106.8","Dictionary",0.007672154,"K23106"
"K23107.7","Dictionary",0.000992851,"K23107"
"K23109.8","Dictionary",0.003593104,"K23109"
"K23114.8","Dictionary",0.003997532,"K23114"
"K23115.8","Dictionary",0.018233881,"K23115"
"K23117.8","Dictionary",0.016122267,"K23117"
"K23120.8","Dictionary",0.007192463,"K23120"
"K23121.8","Dictionary",0.017843728,"K23121"
"K23122.8","Dictionary",0.005263189,"K23122"
"K23125.8","Dictionary",0.005932582,"K23125"
"K23126.7","Dictionary",0.008123452,"K23126"
"K23128.8","Dictionary",0.002285057,"K23128"
"K23130.8","Dictionary",0.003680324,"K23130"
"K23131.7","Dictionary",0.00961,"K23131"
"K23133.8","Dictionary",0.003218324,"K23133"
"K23134.8","Dictionary",0.004677073,"K23134"
"K23136.8","Dictionary",0.003260357,"K23136"
"K23139.8","Dictionary",0.002067473,"K23139"
"K23142.8","Dictionary",0.001228457,"K23142"
"K23143.8","Dictionary",0.000616246,"K23143"
"K23144.8","Dictionary",0.00206497,"K23144"
"K23145.8","Dictionary",9.27e-05,"K23145"
"K23148.8","Dictionary",0.000925188,"K23148"
"K23150.8","Dictionary",0.003833108,"K23150"
"K23151.8","Dictionary",0.00701306,"K23151"
"K23153.8","Dictionary",0.016950148,"K23153"
"K23155.8","Dictionary",0.00477738,"K23155"
"K23156.8","Dictionary",0.004608924,"K23156"
"K23502.8","Dictionary",0.008735013,"K23502"
"K23503.8","Dictionary",0.005492411,"K23503"
"K23507.8","Dictionary",0.009827909,"K23507"
"K23508.8","Dictionary",0.003961702,"K23508"
"K23509.7","Dictionary",0.001063182,"K23509"
"K23510.8","Dictionary",0.009451987,"K23510"
"K23517.8","Dictionary",0.008956169,"K23517"
"K23521.7","Dictionary",0.02338436,"K23521"
"K23526.7","Dictionary",0.006581375,"K23526"
"K23529.8","Dictionary",0.005467736,"K23529"
"K23531.8","Dictionary",0.00358228,"K23531"
"K23532.8","Dictionary",0.004787977,"K23532"
"K23533.8","Dictionary",0.005399935,"K23533"
"K23536.8","Dictionary",0.001966289,"K23536"
"K23537.8","Dictionary",0.009493319,"K23537"
"K23540.8","Dictionary",0.004579516,"K23540"
"K23541.8","Dictionary",0.004371667,"K23541"
"K23548.8","Dictionary",0.00850672,"K23548"
"K23552.8","Dictionary",0.002894478,"K23552"
"K23555.8","Dictionary",0.011770561,"K23555"
"K23556.8","Dictionary",0.003306847,"K23556"
"K23557.8","Dictionary",0.002656088,"K23557"
"K23559.8","Dictionary",0.002594769,"K23559"
"K23563.8","Dictionary",0.008796474,"K23563"
"K23565.8","Dictionary",0.043235877,"K23565"
"KTFG534.7","Dictionary",0.008397634,"KTFG534"
"KTGF118.8","Dictionary",0.001741721,"KTGF118"
"KTGF120.8","Dictionary",0.005097205,"KTGF120"
"KTGF122.8","Dictionary",0.005041324,"KTGF122"
"KTGF124.8","Dictionary",0.020803741,"KTGF124"
"KTGF125.8","Dictionary",0.002025311,"KTGF125"
"KTGF126.8","Dictionary",0.009616527,"KTGF126"
"KTGF127.8","Dictionary",0.0082352,"KTGF127"
"KTGF129.8","Dictionary",0.006721484,"KTGF129"
"KTGF130.8","Dictionary",0.00479825,"KTGF130"
"KTGF136.8","Dictionary",0.005873775,"KTGF136"
"KTGF138.8","Dictionary",0.002516863,"KTGF138"
"KTGF142.8","Dictionary",0.008156848,"KTGF142"
"KTGF143.8","Dictionary",0.001477583,"KTGF143"
"KTGF146.7","Dictionary",0.00411795,"KTGF146"
"KTGF147.8","Dictionary",0.005066535,"KTGF147"
"KTGF148.8","Dictionary",0.003506455,"KTGF148"
"KTGF150.8","Dictionary",0.006716071,"KTGF150"
"KTGF153.8","Dictionary",0.003686674,"KTGF153"
"KTGF154.8","Dictionary",0.006828588,"KTGF154"
"KTGF156.8","Dictionary",0.003155847,"KTGF156"
"KTGF157.8","Dictionary",0.013055095,"KTGF157"
"KTGF158.8","Dictionary",0.010190207,"KTGF158"
"KTGF527.8","Dictionary",0.003564063,"KTGF527"
"KTGF528.8","Dictionary",0.007288,"KTGF528"
"KTGF533.8","Dictionary",0.083122433,"KTGF533"
"KTGF540.8","Dictionary",0.00097037,"KTGF540"
"KTGF544.8","Dictionary",0.004536417,"KTGF544"
"KTGF545.7","Dictionary",0.005233483,"KTGF545"
"KTGF549.8","Dictionary",0.002630222,"KTGF549"
"KTGF550.8","Dictionary",0.004452796,"KTGF550"
"KTGF553.7","Dictionary",0.007897147,"KTGF553"
"KTGF556.8","Dictionary",0.006938469,"KTGF556"
"KTGF557.8","Dictionary",0.014098509,"KTGF557"
"KTGF561.8","Dictionary",0.002803129,"KTGF561"
"KTGF562.6","Dictionary",0.006297145,"KTGF562"
"KTGF565.8","Dictionary",0.009469029,"KTGF565"
"KTGF570.8","Dictionary",0.002030833,"KTGF570"
"KTGF572.8","Dictionary",0.014952186,"KTGF572"
"K23101.29","Differentiation",0.00065965,"K23101"
"K23106.33","Differentiation",0.003387397,"K23106"
"K23121.31","Differentiation",0.000681481,"K23121"
"K23125.35","Differentiation",0.003567425,"K23125"
"K23128.33","Differentiation",0.002408748,"K23128"
"K23133.37","Differentiation",0.002928222,"K23133"
"K23134.38","Differentiation",0.020328293,"K23134"
"K23136.34","Differentiation",0.000585581,"K23136"
"K23145.31","Differentiation",0.001111778,"K23145"
"K23148.32","Differentiation",0.00023497,"K23148"
"K23151.31","Differentiation",0.006704308,"K23151"
"K23153.32","Differentiation",0.000677333,"K23153"
"K23503.32","Differentiation",0.005916571,"K23503"
"K23509.33","Differentiation",0.00246453,"K23509"
"K23510.34","Differentiation",0.003396487,"K23510"
"K23529.32","Differentiation",0.003867472,"K23529"
"K23532.35","Differentiation",0.001764966,"K23532"
"K23537.35","Differentiation",0.004527529,"K23537"
"K23548.34","Differentiation",0.011904921,"K23548"
"K23552.33","Differentiation",0.002180507,"K23552"
"K23557.35","Differentiation",0.003263461,"K23557"
"K23565.33","Differentiation",0.000272,"K23565"
"KTFG534.33","Differentiation",0.003954144,"KTFG534"
"KTGF118.33","Differentiation",0.002231145,"KTGF118"
"KTGF120.34","Differentiation",0.002775629,"KTGF120"
"KTGF124.32","Differentiation",0.007184056,"KTGF124"
"KTGF125.34","Differentiation",0.001128586,"KTGF125"
"KTGF142.36","Differentiation",0.004698283,"KTGF142"
"KTGF143.34","Differentiation",0.002687204,"KTGF143"
"KTGF147.27","Differentiation",0.002154921,"KTGF147"
"KTGF148.33","Differentiation",0.006691307,"KTGF148"
"KTGF156.33","Differentiation",0.001444104,"KTGF156"
"KTGF527.39","Differentiation",0.002960913,"KTGF527"
"KTGF528.33","Differentiation",0.00197641,"KTGF528"
"KTGF544.35","Differentiation",0.005406514,"KTGF544"
"KTGF545.30","Differentiation",0.009455625,"KTGF545"
"KTGF549.38","Differentiation",0.00383387,"KTGF549"
"KTGF556.34","Differentiation",0.015501563,"KTGF556"
"KTGF561.32","Differentiation",0.003523848,"KTGF561"
"KTGF565.34","Differentiation",0.007869947,"KTGF565"
"K23125.33","Discrepancy",0.002530274,"K23125"
"K23133.34","Discrepancy",0.000468972,"K23133"
"K23134.35","Discrepancy",8.69e-21,"K23134"
"K23148.30","Discrepancy",0.002866291,"K23148"
"K23151.30","Discrepancy",0.006051949,"K23151"
"K23503.31","Discrepancy",0.002270624,"K23503"
"K23509.31","Discrepancy",0.008210189,"K23509"
"K23521.30","Discrepancy",0.003519537,"K23521"
"K23531.29","Discrepancy",0.000549419,"K23531"
"K23532.33","Discrepancy",0.002666069,"K23532"
"K23537.32","Discrepancy",0.003324899,"K23537"
"K23548.33","Discrepancy",0.002817439,"K23548"
"K23552.31","Discrepancy",0.001846188,"K23552"
"K23557.33","Discrepancy",0.013100245,"K23557"
"K23565.32","Discrepancy",0.003049641,"K23565"
"KTGF118.31","Discrepancy",0.002586577,"KTGF118"
"KTGF120.32","Discrepancy",0.003250082,"KTGF120"
"KTGF142.34","Discrepancy",0.00382104,"KTGF142"
"KTGF143.32","Discrepancy",0.001000546,"KTGF143"
"KTGF148.32","Discrepancy",0.003009914,"KTGF148"
"KTGF156.32","Discrepancy",0.00394056,"KTGF156"
"KTGF158.32","Discrepancy",0.014744357,"KTGF158"
"KTGF527.36","Discrepancy",0.009722524,"KTGF527"
"KTGF544.33","Discrepancy",0.002915833,"KTGF544"
"KTGF549.36","Discrepancy",0.002724259,"KTGF549"
"KTGF553.26","Discrepancy",0.003113427,"KTGF553"
"KTGF556.32","Discrepancy",0.001322438,"KTGF556"
"KTGF557.30","Discrepancy",0.003157781,"KTGF557"
"KTGF561.30","Discrepancy",0.002212614,"KTGF561"
"KTGF565.32","Discrepancy",0.001740072,"KTGF565"
"K23101.23","Drives",0.002198256,"K23101"
"K23106.24","Drives",0.002759548,"K23106"
"K23107.19","Drives",0.001432218,"K23107"
"K23109.21","Drives",0.003165696,"K23109"
"K23114.23","Drives",0.01333096,"K23114"
"K23115.23","Drives",0.021168706,"K23115"
"K23117.21","Drives",0.014012563,"K23117"
"K23120.20","Drives",0.006396267,"K23120"
"K23121.24","Drives",0.005255099,"K23121"
"K23122.22","Drives",0.005890069,"K23122"
"K23125.25","Drives",0.001831114,"K23125"
"K23126.23","Drives",0.082372411,"K23126"
"K23128.26","Drives",0.003136894,"K23128"
"K23130.23","Drives",0.009976616,"K23130"
"K23131.19","Drives",0.003534238,"K23131"
"K23133.27","Drives",0.002856167,"K23133"
"K23134.27","Drives",3.32e-05,"K23134"
"K23136.26","Drives",0.002544403,"K23136"
"K23139.21","Drives",0.001296495,"K23139"
"K23142.18","Drives",0.00275034,"K23142"
"K23143.21","Drives",0.000578544,"K23143"
"K23144.24","Drives",0.002495253,"K23144"
"K23145.25","Drives",0.003713611,"K23145"
"K23148.24","Drives",0.006180727,"K23148"
"K23150.21","Drives",0.005236687,"K23150"
"K23151.24","Drives",0.004382735,"K23151"
"K23153.24","Drives",0.004123093,"K23153"
"K23155.22","Drives",0.001625287,"K23155"
"K23156.18","Drives",0.000274545,"K23156"
"K23502.21","Drives",0.002755378,"K23502"
"K23503.24","Drives",0.004481131,"K23503"
"K23507.22","Drives",0.000242192,"K23507"
"K23508.20","Drives",0.002602847,"K23508"
"K23509.24","Drives",0.002571394,"K23509"
"K23510.25","Drives",0.009707106,"K23510"
"K23517.25","Drives",0.024358391,"K23517"
"K23521.24","Drives",0.004763347,"K23521"
"K23526.22","Drives",0.006664048,"K23526"
"K23529.25","Drives",0.017241222,"K23529"
"K23531.22","Drives",0.008635699,"K23531"
"K23532.27","Drives",0.011746471,"K23532"
"K23533.23","Drives",0.004932333,"K23533"
"K23536.22","Drives",0.001679111,"K23536"
"K23537.25","Drives",0.002057217,"K23537"
"K23540.25","Drives",0.009198392,"K23540"
"K23541.23","Drives",0.00306056,"K23541"
"K23548.25","Drives",0.009160565,"K23548"
"K23551.20","Drives",0.005728082,"K23551"
"K23552.25","Drives",0.003173201,"K23552"
"K23555.25","Drives",0.009079471,"K23555"
"K23556.24","Drives",0.002291027,"K23556"
"K23557.25","Drives",0.046126971,"K23557"
"K23559.20","Drives",0.004341286,"K23559"
"K23563.25","Drives",0.007216889,"K23563"
"K23565.25","Drives",0.004182595,"K23565"
