"","Participant","Time","NA_Ratings","Nervous","Predicted_Estimates"
"132","K23104",54,0,0,0.333543996687622
"133","K23104",55,0,0,0.404982541910088
"134","K23104",56,0,0,0.201336640327596
"135","K23104",57,0,0,0.143203043696695
"136","K23104",58,0,0,0.0873740227510964
"137","K23104",59,0,0,0.234945621036918
"138","K23104",60,0,0,0.272270899855822
"139","K23104",61,0,0,-0.052360292286527
"140","K23104",62,0,0,0.311567433242751
"141","K23104",63,0,0,0.0219826822295537
"142","K23104",64,0,0,0.000124334844998231
"143","K23104",65,0,0,0.00448067954797642
"144","K23104",66,0,0,0.23525591684224
"145","K23104",67,0,0,0.0714491113868635
"146","K23104",68,0,0,0.245003533722034
"147","K23104",69,0,0,0.253697347010367
"148","K23104",70,0,0,0.375608284157806
"149","K23104",71,0,0,0.16062309680337
"150","K23104",72,0,0,0.461088771095727
"151","K23104",73,0,0,0.0866698842110824
"152","K23104",74,0,0,0.90236288811773
"153","K23104",76,0,0,0.261529690944934
"154","K23104",77,0,0,0.247851724885177
"155","K23104",78,0,0,0.056261464801033
"156","K23104",79,0,0,-0.0179989514258089
"157","K23104",80,0,0,0.327450786729731
"158","K23104",81,0,0,0.114948724030576
"159","K23104",82,0,0,0.294463526654092
"160","K23104",83,0,0,0.379135672419488
"161","K23104",84,0,0,0.279110041979598
"162","K23104",85,0,0,0.0827483264182817
"163","K23104",87,0,0,0.429824575838812
"164","K23104",88,0,0,-0.15920075447633
"165","K23104",89,0,0,0.286846239748272
"166","K23104",90,0,0,0.067415575272759
"167","K23104",91,0,0,0.176729263578324
"168","K23104",92,0,0,0.293938904756793
"169","K23106",1,1,1,0.610262371724485
"170","K23106",2,0,0,0.976421415814182
"171","K23106",3,0,0,1.07776555548705
"172","K23106",4,0,0,0.413784476322958
"173","K23106",5,0,0,0.78363199329578
"174","K23106",6,0,0,0.658558448310245
"175","K23106",7,0,0,1.41460227430791
"176","K23106",8,0,0,0.39678943143716
"177","K23106",9,0,0,0.691326201482743
"178","K23106",10,0,0,0.529511216839853
"179","K23106",11,0,0,0.913456117156637
"180","K23106",12,0,0,0.882202530522748
"181","K23106",13,0,0,0.851682529196619
"182","K23106",14,0,0,0.369564995259232
"183","K23106",15,0,0,0.69979775617985
"184","K23106",16,0,0,0.87432989098921
"185","K23106",17,0,0,0.559436323986627
"186","K23106",18,0,0,0.363751706123635
"187","K23106",19,0,0,0.459576068217821
"188","K23106",20,0,0,0.678180730377072
"189","K23106",21,0,0,0.692943666581052
"190","K23106",23,0,0,0.922641750797729
"191","K23106",25,0,0,0.802373216556478
"192","K23106",26,0,0,0.512886887296833
"193","K23106",27,0,0,0.866222652395931
"194","K23106",28,0,0,0.541690723542084
"195","K23106",29,0,0,0.943329030440188
"196","K23106",30,0,0,0.538259070438945
"197","K23106",31,0,0,0.805064578623275
"198","K23106",32,0,0,0.464883601013631
"199","K23106",33,0,0,0.363808589418884
"200","K23106",34,0,0,0.789588142367318
"201","K23106",35,0,0,0.731824066661596
"202","K23106",36,0,0,0.461787163811762
"203","K23106",37,0,0,0.803679862592929
"204","K23106",38,0,0,0.716687584667202
"205","K23106",39,0,0,0.649590489719215
"206","K23106",40,0,0,0.752773530610359
"207","K23106",41,0,0,0.779252997819808
"208","K23106",42,0,0,0.392430739796159
"209","K23106",43,1,1,0.596064280205491
"210","K23106",44,0,0,0.466757151996163
"211","K23106",45,0,0,0.584922016293335
"212","K23106",46,0,0,0.563320331282505
"213","K23106",47,1,1,0.550074724034069
"214","K23106",48,0,0,0.487012605706731
"215","K23106",49,0,0,0.661896866848865
"216","K23106",50,0,0,0.439815294907097
"217","K23106",51,0,0,0.322836962217761
"218","K23106",52,0,0,0.865092126362118
"219","K23106",53,0,0,0.690834942830225
"220","K23106",54,0,0,0.946885538351198
"221","K23107",1,0,0,0.448948967764401
"222","K23107",2,0,0,0.497635830858947
"223","K23107",3,0,0,0.317500314944588
"224","K23107",4,0,0,0.609776806388494
"225","K23107",5,0,0,0.400707333634057
"226","K23107",6,0,0,0.458460003484215
"227","K23107",7,0,0,0.314824961123339
"228","K23107",8,0,0,0.410423313254179
"229","K23107",9,0,0,0.538380714592781
"230","K23107",10,0,0,0.65268734953003
"231","K23107",11,0,0,0.3964211456801
"232","K23107",12,0,0,0.613123405147753
"233","K23107",13,0,0,0.27709155413471
"234","K23107",14,0,0,0.288258661562189
"235","K23107",15,0,0,0.295311820151648
"236","K23107",16,0,0,0.51719379163774
"237","K23107",17,0,0,0.553002649074619
"238","K23107",18,0,0,0.456192916821167
"239","K23107",19,0,0,0.673152171112313
"240","K23107",20,0,0,0.767285639489043
"241","K23107",21,1,1,0.691964146312933
"242","K23107",22,0,0,0.414755742802572
"243","K23107",23,0,0,0.655762630869447
"244","K23107",24,0,0,0.713525798653828
"245","K23107",25,0,0,0.518579160941982
"246","K23107",26,0,0,0.406430345793097
"247","K23107",27,0,0,0.524283303564157
"248","K23107",28,0,0,0.181230274908727
"249","K23107",29,0,0,0.440246889035764
"250","K23107",30,0,0,0.232945473867719
"251","K23107",31,0,0,0.609456929510399
"252","K23107",32,0,0,0.409814365805841
"253","K23107",33,1,1,0.763683322615666
"254","K23107",34,0,0,0.291392787008241
"255","K23107",35,1,1,0.473881788383349
"256","K23107",36,0,0,0.33328273917839
"257","K23107",37,1,1,0.682497125372847
"258","K23107",38,0,0,0.495229279446768
"259","K23107",39,1,1,0.435966693752109
"260","K23107",40,0,0,0.608266615779327
"261","K23107",41,0,0,0.611996548723358
"262","K23107",42,1,1,0.791121473397208
"263","K23107",43,0,0,0.404193369160762
"264","K23107",44,1,1,0.561899441179487
"265","K23107",45,0,0,0.45125326509953
"266","K23107",46,0,0,0.555982858779155
"267","K23107",47,0,0,0.275316560555203
"268","K23107",48,0,0,0.36534660828509
"269","K23107",49,0,0,0.215726735851738
"270","K23107",50,0,0,0.420121257578899
"271","K23107",51,0,0,0.66182103999529
"272","K23107",52,1,1,0.590697050517682
"273","K23107",53,0,0,0.594043171353927
"274","K23107",54,0,0,0.788805513128798
"275","K23107",55,1,1,0.517044271943149
"276","K23107",56,0,0,0.517512278743618
"277","K23107",57,0,0,0.764436861662721
"278","K23107",58,0,0,0.738796221469401
"279","K23109",1,2,2,0.496735750879877
"280","K23109",3,0,0,0.574631630872989
"281","K23109",4,0,0,0.649296342811423
"282","K23109",5,0,0,0.380171279413601
"283","K23109",6,0,0,0.743458961905675
"284","K23109",7,0,0,0.603390585861665
"285","K23109",8,0,0,0.365839258748365
"286","K23109",9,0,0,0.210724857138858
"287","K23109",10,0,0,0.932231609162795
"288","K23109",11,0,0,0.858685384595144
"289","K23109",12,0,0,0.527581694164357
"290","K23109",13,0,0,0.483206944044176
"291","K23109",14,0,0,0.714290640152379
"292","K23109",15,0,0,0.605734706482911
"293","K23109",16,1,1,0.741999545442957
"294","K23109",17,0,0,0.458560470031148
"295","K23109",18,0,0,0.698807501321957
"296","K23109",19,0,0,0.433499510482229
"297","K23109",20,0,0,0.532907978293324
"298","K23109",21,0,0,0.766587602964591
"299","K23109",22,0,0,1.05378851609475
"300","K23109",23,0,0,0.306069606705272
"301","K23109",24,0,0,0.662462787309617
"302","K23109",25,0,0,0.401879246900736
"303","K23109",26,0,0,0.370309180277127
"304","K23109",27,0,0,0.483259647119162
"305","K23109",28,0,0,0.392681056944244
"306","K23109",29,0,0,0.49383880619576
"307","K23109",30,1,1,0.584951338517698
"308","K23109",31,0,0,0.728824855021385
"309","K23109",32,0,0,0.601575213369714
"310","K23109",33,0,0,1.00078711360655
"311","K23109",34,0,0,0.881742975476734
"312","K23109",35,0,0,0.373321351268836
"313","K23109",36,0,0,0.292515058729444
"314","K23109",37,0,0,0.132975476903549
"315","K23109",38,0,0,0.367504236391748
"316","K23109",39,0,0,0.465110547020217
"317","K23109",40,0,0,0.76028205058761
"318","K23109",41,0,0,0.15536550947318
"319","K23109",42,0,0,0.562350226129013
"320","K23109",43,1,1,0.498610695964203
"321","K23109",44,0,0,0.566998338985544
"322","K23109",45,0,0,1.02359989655042
"323","K23109",46,0,0,0.496017760391021
"324","K23109",47,0,0,0.442482023615597
"325","K23109",48,2,2,0.585992465660733
"326","K23109",49,1,1,0.194492518368029
"327","K23109",50,0,0,0.528308218593588
"328","K23109",51,1,1,0.487933406217022
"329","K23109",52,0,0,0.0608042823954338
"330","K23109",53,0,0,0.154356160123618
"331","K23109",54,0,0,0.510305167733839
"332","K23109",55,1,1,0.33465062960835
"333","K23109",56,0,0,1.21814420623551
"334","K23109",57,1,1,0.634917735104694
"335","K23109",58,0,0,0.555900978093232
"336","K23109",59,0,0,0.388258461870858
"337","K23109",60,0,0,0.481825402288465
"338","K23109",61,0,0,0.295458046224855
"339","K23109",62,0,0,0.418701023769025
"340","K23109",63,0,0,0.220234441288014
"341","K23109",64,0,0,0.154156385899275
"342","K23109",65,1,1,0.68260483639629
"343","K23109",66,0,0,1.24542744875612
"344","K23109",67,1,1,0.291069736422813
"345","K23109",68,1,1,0.954111155854853
"346","K23109",69,0,0,0.869149280511532
"347","K23109",70,0,0,0.740249245315291
"348","K23109",71,1,1,0.512779578625392
"349","K23109",72,1,1,0.572550282402184
"350","K23109",73,3,3,0.724955754960722
"351","K23109",74,0,0,0.610903943331487
"352","K23109",75,0,0,0.702056454065442
"353","K23109",76,0,0,0.474769810202286
"354","K23109",77,0,0,0.476942288497916
"355","K23109",78,0,0,0.548112094658893
"356","K23109",79,0,0,0.203628985333163
"357","K23109",80,0,0,0.213634472801464
"358","K23109",81,0,0,0.208278255582645
"359","K23109",82,0,0,0.664690524219896
"360","K23109",83,0,0,0.267482639098008
"361","K23109",84,0,0,0.504278828388879
"362","K23109",85,0,0,0.646668997620278
"363","K23109",86,0,0,0.517857444039747
"364","K23109",87,0,0,0.300663217374951
"365","K23109",88,0,0,0.932106620702942
"366","K23109",89,0,0,0.602332000724031
"367","K23109",90,0,0,0.501127201115465
"368","K23109",91,0,0,0.607431096840527
"369","K23114",1,2,2,0.728189273661918
"370","K23114",2,2,2,0.268312539572583
"371","K23114",3,3,3,0.638914033758339
"372","K23114",4,2,2,0.23057659061189
"373","K23114",5,1,1,0.57102869708942
"374","K23114",6,1,1,0.305566847179109
"375","K23114",7,3,3,0.298716112180997
"376","K23114",9,0,0,0.695008027833343
"377","K23114",10,2,2,0.931768475812444
"378","K23114",11,2,2,0.149247381237008
"379","K23114",13,1,1,0.729119232605862
"380","K23114",14,1,1,0.615011764895094
"381","K23114",15,4,4,0.575883495200814
"382","K23114",16,0,0,0.426696318766381
"383","K23114",17,0,0,0.295797344279082
"384","K23114",18,2,2,0.252108389882464
"385","K23114",19,2,2,0.674478455119775
"386","K23114",20,4,4,0.643329322869415
"387","K23114",21,2,2,0.803149976243524
"388","K23114",22,3,3,0.654068478854355
"389","K23114",23,3,3,0.665206903570028
"390","K23114",24,4,4,0.68389551593447
"391","K23114",25,2,2,0.602590206775326
"392","K23114",26,2,2,0.301316784424747
"393","K23114",27,2,2,0.186119639754652
"394","K23114",28,1,1,0.687964135916663
"395","K23114",29,2,2,0.659123231757862
"396","K23114",30,0,0,0.480568670282127
"397","K23114",31,2,2,0.761498707661375
"398","K23114",32,3,3,0.291553743415463
"399","K23114",33,2,2,0.740729453658084
"400","K23114",34,1,1,0.721457379144699
"401","K23114",35,1,1,0.576021202643908
"402","K23114",36,2,2,0.814098317504276
"403","K23114",38,0,0,0.927059239763864
"404","K23114",42,1,1,0.511229183694961
"405","K23114",43,0,0,0.557133341248196
"406","K23115",1,3,3,1.13180276488718
"407","K23115",2,3,3,0.919124582365127
"408","K23115",3,1,1,0.717785199638033
"409","K23115",4,0,0,0.422280859643587
"410","K23115",5,1,1,0.722025562890766
"411","K23115",6,0,0,0.560587693305014
"412","K23115",7,1,1,0.614246176892297
"413","K23115",8,1,1,0.70555584828047
"414","K23115",9,1,1,0.895219092676372
"415","K23115",10,1,1,0.593449927931188
"416","K23115",11,2,2,0.834917124074564
"417","K23115",12,2,2,0.516739516582713
"418","K23115",13,1,1,0.571996722961388
"419","K23115",14,1,1,0.637779334469257
"420","K23115",15,1,1,0.64787345040393
"421","K23115",16,0,0,0.662103174420244
"422","K23115",17,1,1,0.953394142509682
"423","K23115",18,1,1,0.600737902517579
"424","K23115",19,1,1,0.950919067187313
"425","K23115",20,1,1,0.634705162018821
"426","K23115",21,0,0,0.419198241959497
"427","K23115",22,0,0,0.529892714275612
"428","K23115",23,1,1,0.356780119046618
"429","K23115",24,0,0,0.393963958572671
"430","K23115",25,2,2,0.425347545118465
"431","K23115",26,4,4,1.05831564332522
"432","K23115",27,1,1,0.488497763527677
"433","K23115",28,2,2,0.590830300779933
"434","K23115",29,3,3,0.802456799716229
"435","K23115",30,2,2,0.659446118849949
"436","K23115",31,1,1,0.34311321324199
"437","K23115",32,0,0,0.5047893893856
"438","K23115",33,1,1,0.932617284978332
"439","K23115",34,0,0,0.60823297021658
"440","K23115",35,1,1,0.547421650281704
"441","K23115",36,1,1,0.848895504857169
"442","K23115",37,3,3,0.919622113327963
"443","K23115",38,1,1,0.744655696392131
"444","K23115",39,1,1,0.639390950108252
"445","K23115",40,1,1,0.384290701135163
"446","K23115",41,1,1,0.68181779105024
"447","K23115",42,2,2,0.456743792924757
"448","K23115",43,0,0,0.486588911846443
"449","K23115",44,2,2,0.756213274428949
"450","K23115",45,1,1,0.518600669796507
"451","K23115",46,1,1,0.598263673021273
"452","K23115",47,1,1,0.886724169166676
"453","K23115",48,1,1,0.436395196296992
"454","K23115",49,1,1,0.360660654764618
"455","K23115",50,1,1,0.514922636052493
"456","K23115",51,1,1,0.684725399753825
"457","K23115",52,1,1,0.950065512759558
"458","K23115",53,1,1,0.634216444390151
"459","K23115",54,2,2,0.860519144619004
"460","K23115",55,2,2,0.869151064839907
"461","K23115",56,2,2,0.784488314117903
"462","K23115",57,1,1,0.984705354029789
"463","K23115",58,1,1,0.672604796934519
"464","K23115",59,1,1,1.00246517008651
"465","K23115",60,1,1,0.847801302469561
"466","K23115",61,2,2,0.633528922211902
"467","K23115",62,0,0,0.729512822959498
"468","K23115",63,2,2,0.777579676791566
"469","K23115",64,3,3,0.806736609830179
"470","K23115",65,2,2,0.654742988395916
"471","K23115",66,3,3,0.591007336412668
"472","K23115",67,1,1,0.280166737673554
"473","K23117",1,4,4,1.43778060465058
"474","K23117",2,4,4,0.901029438413559
"475","K23117",3,3,3,1.20199315358211
"476","K23117",4,2,2,1.13307171882651
"477","K23117",5,2,2,0.488354147023922
"478","K23117",6,0,0,0.647116750733823
"479","K23117",7,0,0,0.596631979392275
"480","K23117",8,1,1,0.625188027529887
"481","K23117",9,3,3,0.87060976676046
"482","K23117",10,3,3,1.14930726718159
"483","K23117",11,2,2,0.532638817319597
"484","K23117",12,0,0,0.611803331801692
"485","K23117",13,0,0,0.81538704793789
"486","K23117",14,0,0,0.447976884609179
"487","K23117",15,0,0,0.577694497677476
"488","K23117",16,0,0,0.436271473604149
"489","K23117",17,0,0,0.656744932298169
"490","K23117",18,4,4,0.668815376098759
"491","K23117",19,2,2,0.402116709499486
"492","K23117",20,0,0,0.880223315132307
"493","K23117",21,0,0,0.683808119486102
"494","K23117",22,0,0,0.667829854110722
"495","K23117",23,0,0,0.320554819769246
"496","K23117",24,2,2,0.994825800784776
"497","K23117",25,2,2,0.578136972739795
"498","K23117",26,0,0,0.717901925760009
"499","K23117",27,4,4,1.19701046069774
"500","K23117",28,0,0,0.505389083649778
"501","K23117",29,0,0,0.87567113900828
"502","K23117",30,0,0,0.655725298790522
"503","K23117",31,0,0,0.573605016049746
"504","K23117",32,0,0,0.473954802696235
"505","K23117",33,0,0,0.862728135647033
"506","K23117",34,0,0,0.85045305127162
"507","K23117",35,0,0,0.80549035851184
"508","K23117",36,1,1,0.733954724929066
"509","K23117",37,0,0,1.07703431255262
"510","K23117",38,0,0,0.480054707817914
"511","K23117",39,1,1,0.540557422116373
"512","K23117",40,0,0,0.661032642148738
"513","K23117",42,1,1,0.397937116213771
"514","K23117",43,1,1,0.82053457990182
"515","K23117",44,2,2,0.587070479354796
"516","K23117",45,1,1,0.621809508228147
"517","K23117",46,0,0,0.626851676746205
"518","K23117",47,0,0,0.762611188808336
"519","K23117",48,0,0,0.664240887120884
"520","K23117",49,0,0,0.495729950997783
"521","K23117",50,1,1,0.51053414055961
"522","K23117",51,1,1,0.548824119907464
"523","K23117",52,2,2,0.903142403842127
"524","K23117",53,2,2,0.683961874494277
"525","K23117",54,2,2,0.518353697164034
"526","K23117",56,2,2,0.664482473820598
"527","K23117",57,2,2,0.40293781588354
"528","K23117",58,0,0,0.70477789535149
"529","K23117",59,1,1,0.9179230566433
"530","K23117",60,2,2,0.770884733427274
"531","K23117",61,0,0,0.553900807051226
"532","K23117",62,0,0,0.432359568080589
"533","K23117",63,0,0,0.838874678711947
"534","K23117",64,1,1,0.538162885219781
"535","K23117",65,1,1,0.802545794353957
"536","K23117",66,1,1,0.930370159281593
"537","K23117",67,0,0,1.08020451694648
"538","K23117",68,3,3,0.245162912461395
"539","K23117",69,2,2,0.741124581730328
"540","K23117",70,3,3,0.91125373087605
"541","K23117",71,1,1,0.957481959358523
"542","K23117",72,0,0,0.815047024002649
"543","K23117",73,2,2,0.73748023963571
"544","K23117",74,2,2,0.364694340652268
"545","K23117",75,1,1,1.08901193436006
"546","K23117",76,2,2,1.21332254213759
"547","K23117",77,1,1,0.731463216037592
"548","K23117",78,2,2,0.595994836401957
"549","K23117",79,0,0,1.16717068979089
"550","K23117",80,1,1,0.38513436550391
"551","K23117",81,1,1,0.902685488116028
"552","K23117",82,2,2,0.736193605762659
"553","K23117",83,1,1,0.673078562140235
"554","K23117",84,1,1,1.09008866638471
"555","K23117",85,0,0,0.369037568764946
"556","K23117",86,0,0,0.730192480008939
"557","K23117",88,1,1,0.654867092165302
"558","K23117",89,0,0,0.360984855401942
"559","K23117",90,2,2,0.582912192417264
"560","K23117",91,1,1,0.437535726328246
"561","K23117",92,0,0,0.739726239834534
"562","K23117",93,0,0,0.806907015763143
"563","K23120",1,0,0,0.593350048528807
"564","K23120",2,0,0,-0.180972629697646
"565","K23120",3,0,0,0.708010747891638
"566","K23120",4,0,0,0.410986773358141
"567","K23120",5,0,0,0.496765081375959
"568","K23120",7,1,1,0.528938575585131
"569","K23120",8,0,0,0.858511910264498
"570","K23120",9,0,0,0.169230265794766
"571","K23120",10,0,0,0.650354168831427
"572","K23120",11,0,0,0.872790437770707
"573","K23120",12,1,1,0.654385904353965
"574","K23120",13,0,0,0.460237326558191
"575","K23120",14,0,0,0.394772861361591
"576","K23120",15,0,0,0.489674312899379
"577","K23120",16,0,0,0.962675213730634
"578","K23120",17,0,0,0.597962370205891
"579","K23120",18,0,0,0.675596372671591
"580","K23120",19,0,0,0.954500321556937
"581","K23120",20,0,0,0.37563109065612
"582","K23120",21,0,0,0.21847226786432
"583","K23120",22,0,0,0.469707377356771
"584","K23120",23,0,0,0.890616089704173
"585","K23120",24,0,0,0.906045164849733
"586","K23120",25,0,0,0.93525871919694
"587","K23120",26,0,0,0.623091382337734
"588","K23120",27,0,0,0.626455413936468
"589","K23120",28,0,0,0.537331755281593
"590","K23120",29,0,0,0.262448239729827
"591","K23120",30,0,0,0.686107281955336
"592","K23120",31,0,0,0.577418637251067
"593","K23120",32,0,0,1.15127838339629
"594","K23120",33,0,0,0.32916312110955
"595","K23120",34,0,0,0.841712834563352
"596","K23120",35,0,0,0.601219297922287
"597","K23120",36,1,1,0.759081703150465
"598","K23120",37,0,0,0.812617858091377
"599","K23120",38,1,1,0.872120810923016
"600","K23120",39,0,0,0.556620411449137
"601","K23120",40,0,0,0.688879705413441
"602","K23120",41,0,0,0.955971720669259
"603","K23120",42,0,0,0.762145918586891
"604","K23120",43,0,0,0.652513565724576
"605","K23120",44,0,0,0.652357253349803
"606","K23120",45,0,0,0.687788185821963
"607","K23120",46,0,0,0.758199884286036
"608","K23120",47,0,0,0.751705043035157
"609","K23120",48,0,0,0.952213462791058
"610","K23120",49,0,0,0.807249075994293
"611","K23120",50,0,0,1.35808528425057
"612","K23120",52,0,0,1.03609858838287
"613","K23120",53,1,1,0.643360295982325
"614","K23120",54,0,0,0.784219383879979
"615","K23120",55,1,1,0.959496133680687
"616","K23120",56,1,1,1.05952439257794
"617","K23120",57,0,0,0.667929232493634
"618","K23120",58,0,0,0.384475227365196
"619","K23120",59,1,1,0.533659049843085
"620","K23120",60,0,0,0.509427781085562
"621","K23120",61,0,0,0.221345628475186
"622","K23120",62,0,0,0.825940309815911
"623","K23120",63,1,1,0.756654175243644
"624","K23120",64,0,0,0.87662109526093
"625","K23120",65,1,1,0.622417069385908
"626","K23120",66,1,1,0.337527743603662
"627","K23120",67,1,1,0.804128766520837
"628","K23120",68,0,0,0.511253139055643
"629","K23120",69,1,1,0.618398133174585
"630","K23120",70,1,1,0.572636985795317
"631","K23120",71,0,0,1.09016177804654
"632","K23120",72,1,1,0.474161125643149
"633","K23120",73,0,0,0.837512408485095
"634","K23120",74,0,0,0.402314821023332
"635","K23120",75,0,0,0.569543487257037
"636","K23120",76,0,0,0.977612114048242
"637","K23120",77,0,0,0.760849145498433
