"","Participant","Time","NA_Ratings","Nervous","Predicted_Estimates"
"136","K23104",58,0,0,0.132866666666667
"137","K23104",59,0,0,0.113166666666667
"138","K23104",60,0,0,0.00899999999999996
"139","K23104",61,0,0,0.0196666666666666
"140","K23104",62,0,0,0.146666666666667
"141","K23104",63,0,0,0.00519999999999974
"142","K23104",64,0,0,0.0164666666666667
"143","K23104",65,0,0,0.0390999999999999
"144","K23104",66,0,0,0.00366666666666658
"145","K23104",67,0,0,0.0153333333333333
"146","K23104",68,0,0,0.00539999999999996
"147","K23104",69,0,0,0.00549999999999995
"148","K23104",70,0,0,0.0416666666666667
"149","K23104",71,0,0,0.00399999999999996
"150","K23104",72,0,0,0.0208333333333333
"151","K23104",73,0,0,0.0410999999999998
"152","K23104",74,0,0,0.959433333333333
"153","K23104",76,0,0,0.0319666666666667
"154","K23104",77,0,0,-2.97317725994617e-16
"155","K23104",78,0,0,0.0607
"156","K23104",79,0,0,0.00973333333333329
"157","K23104",80,0,0,0.265133333333333
"158","K23104",81,0,0,0.038
"159","K23104",82,0,0,0.1032
"160","K23104",83,0,0,0.0235
"161","K23104",84,0,0,0.109933333333333
"162","K23104",85,0,0,0.00559999999999998
"163","K23104",87,0,0,0.157133333333333
"164","K23104",88,0,0,0.00839999999999996
"165","K23104",89,0,0,0.102133333333333
"166","K23104",90,0,0,0.0667333333333332
"167","K23104",91,0,0,0.0169999999999999
"168","K23104",92,0,0,0.3398
"169","K23106",1,1,1,0.716533333333333
"170","K23106",2,0,0,0.3003
"171","K23106",3,0,0,0.273733333333333
"172","K23106",4,0,0,0.161833333333333
"173","K23106",5,0,0,0.1868
"174","K23106",6,0,0,0.543066666666666
"175","K23106",7,0,0,1.20793333333333
"176","K23106",8,0,0,0.490866666666667
"177","K23106",9,0,0,0.174133333333333
"178","K23106",10,0,0,0.187766666666667
"179","K23106",11,0,0,0.470966666666667
"180","K23106",12,0,0,0.5217
"181","K23106",13,0,0,0.3392
"182","K23106",14,0,0,0.182366666666667
"183","K23106",15,0,0,0.1706
"184","K23106",16,0,0,0.0692666666666667
"185","K23106",17,0,0,0.1012
"186","K23106",18,0,0,0.2659
"187","K23106",19,0,0,0.1215
"188","K23106",20,0,0,0.337
"189","K23106",21,0,0,0.218666666666667
"190","K23106",23,0,0,0.1335
"191","K23106",25,0,0,0.261866666666667
"192","K23106",26,0,0,0.0336999999999999
"193","K23106",27,0,0,0.438133333333333
"194","K23106",28,0,0,0.0449333333333333
"195","K23106",29,0,0,0.122
"196","K23106",30,0,0,0.328
"197","K23106",31,0,0,0.159366666666667
"198","K23106",32,0,0,0.0286999999999999
"199","K23106",33,0,0,0.116133333333333
"200","K23106",34,0,0,0.1274
"201","K23106",35,0,0,0.1343
"202","K23106",36,0,0,0.296833333333333
"203","K23106",37,0,0,0.296466666666667
"204","K23106",38,0,0,0.408333333333333
"205","K23106",39,0,0,0.2481
"206","K23106",40,0,0,0.825466666666667
"207","K23106",41,0,0,0.232666666666667
"208","K23106",42,0,0,0.0731333333333333
"209","K23106",43,1,1,0.117166666666667
